full_name,Selling_Price,Year,Seller_Type,km_driven,Owner _Type,Fuel_Type,Transmission_type,Mileage(Km/L),Engine(CC),max_power(bHP),,,,,
Mahindra XUV500 W8 2WD,6,2012,Individual,185000,1st  ,Diesel,Manual,15.1,2179,140,,,,,
Maruti Swift Dzire VDI,3.8,2013,Individual,90000,1st  ,Diesel,Manual,23.4,1248,74,,,,,
Mahindra Xylo E8,4,2009,Individual,60000,1st  ,Diesel,Manual,14,2498,112,,,,,
Chevrolet Sail 1.3 Base,3,2014,Individual,90000,1st  ,Diesel,Manual,22.1,1248,74,,,,,
Hyundai Xcent 1.2 Kappa SX,5,2015,Individual,20000,1st  ,Petrol,Manual,19.1,1197,82,,,,,
Hyundai i20 1.4 Asta Option,8.5,2018,Individual,15000,1st  ,Diesel,Manual,22.5,1396,89,,,,,
Hyundai i20 1.2 Magna Executive,5.98,2018,Individual,40000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Honda City i VTEC CVT SV,7,2015,Dealer,31180,1st  ,Petrol,Automatic,18,1497,117,,,,,
Mahindra TUV 300 mHAWK100 T8 AMT,9,2018,Individual,40000,1st  ,Diesel,Automatic,18.5,1493,100,,,,,
Tata Indigo LS TDI BSIII,3,2015,Individual,58000,1st  ,Diesel,Manual,19.1,1396,69,,,,,
Maruti Swift Dzire ZDI,4.1,2014,Dealer,56000,1st  ,Diesel,Manual,23.4,1248,74,,,,,
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),3,2011,Individual,93000,1st  ,Diesel,Manual,20.5,1248,92,,,,,
Ambassador Avigo 1800 ISZ MPFI AC,2.25,2010,Dealer,86000,1st  ,Petrol,Manual,12.2,1817,75,,,,,
Maruti Swift VDI BSIV,3,2011,Individual,120000,1st  ,Diesel,Manual,17.8,1248,null,,,,,
Maruti Baleno Zeta Automatic,5.9,2016,Dealer,52427,1st  ,Petrol,Automatic,21.4,1197,83,,,,,
Mahindra Bolero B6,8.5,2020,Individual,40000,1st  ,Diesel,Manual,21,1498,75,,,,,
Tata Nano Cx BSIV,1.08,2011,Individual,70000,1st  ,Petrol,Manual,26,624,35,,,,,
Mahindra KUV100 NXT G80 K8 5Str BSIV,5.5,2018,Individual,17000,1st  ,Petrol,Manual,18.2,1198,82,,,,,
Toyota Etios G,3.25,2012,Dealer,54325,1st  ,Petrol,Manual,17.6,1496,89,,,,,
Maruti Baleno Vxi - BSIII,6.25,2016,Dealer,22000,1st  ,Petrol,Manual,15.4,1590,94,,,,,
Maruti Swift Dzire ZXI,6,2016,Individual,54000,1st  ,Petrol,Manual,20.9,1197,83,,,,,
Maruti Wagon R LXI Optional,4.45,2019,Individual,10000,1st  ,Petrol,Manual,20.5,998,67,,,,,
Maruti Ignis 1.2 Delta BSIV,5.3,2019,Individual,20000,1st  ,Petrol,Manual,20.9,1197,82,,,,,
Toyota Corolla Altis GL,3.85,2011,Dealer,61000,1st  ,Petrol,Manual,14.5,1798,138,,,,,
Maruti Wagon R LXI CNG,4.1,2018,Trustmark Dealer,53237,1st  ,CNG,Manual,26.6,998,58,,,,,
Datsun RediGO Gold 1.0,3.5,2018,Individual,27263,1st  ,Petrol,Manual,22.5,999,68,,,,,
Tata Indigo eLX BS IV,2.65,2014,Individual,90000,1st  ,Diesel,Manual,25,1396,69,,,,,
Hyundai Verna 1.6 CRDI,5.2,2014,Individual,110000,1st  ,Diesel,Manual,22.3,1582,126,,,,,
Hyundai i20 Asta Option 1.4 CRDi,7.5,2016,Individual,70000,1st  ,Diesel,Manual,22.5,1396,89,,,,,
Maruti Swift Dzire VDI,5.6,2017,Individual,70000,1st  ,Diesel,Manual,26.6,1248,74,,,,,
Tata Vista TDI LS,2,2014,Individual,190000,1st  ,Diesel,Manual,19.1,1405,70,,,,,
Hyundai Xcent 1.2 CRDi SX,6,2017,Individual,40000,1st  ,Diesel,Manual,25.4,1186,74,,,,,
Hyundai i20 1.2 Spotz,6.55,2019,Dealer,39000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Hyundai Santro Xing XE,1.25,2007,Dealer,56000,1st  ,Petrol,Manual,17.8,1086,63,,,,,
Toyota Corolla Altis 1.8 VL AT,4.25,2009,Dealer,58000,1st  ,Petrol,Automatic,14.5,1794,138,,,,,
Maruti Omni E MPI STD BS IV,2.2,2017,Individual,40000,1st  ,Petrol,Manual,16.8,796,34,,,,,
Hyundai i20 1.2 Spotz,5.5,2018,Individual,34000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Mahindra Scorpio 1.99 S10,11.5,2017,Individual,50000,1st  ,Diesel,Manual,15.4,1997,120,,,,,
Volkswagen Vento Diesel Highline,5,2012,Individual,77400,1st  ,Diesel,Manual,20.5,1598,104,,,,,
Mahindra Marazzo M2 BSIV,9.9,2019,Individual,36000,1st  ,Diesel,Manual,17.3,1497,121,,,,,
Hyundai Verna SX Opt Diesel,5.51,2013,Dealer,47876,1st  ,Diesel,Manual,25,1493,113,,,,,
Mahindra XUV500 W11 Option AT BSIV,16.5,2018,Individual,21500,1st  ,Diesel,Automatic,15.1,2179,153,,,,,
Hyundai Grand i10 CRDi Magna,3.5,2015,Dealer,75000,1st  ,Diesel,Manual,24,1120,70,,,,,
Ford Aspire 1.2 Ti-VCT Titanium,5,2017,Dealer,58000,1st  ,Petrol,Manual,18.2,1196,87,,,,,
Maruti Swift Dzire VXI 1.2,5.75,2018,Individual,30000,1st  ,Petrol,Manual,21.2,1197,82,,,,,
Hyundai Grand i10 1.2 CRDi Asta,5.45,2018,Individual,50000,1st  ,Diesel,Manual,24,1186,74,,,,,
Ford Figo 1.2P Titanium MT,5.25,2017,Trustmark Dealer,19093,1st  ,Petrol,Manual,18.2,1196,87,,,,,
Honda Amaze E i-Vtech,4,2014,Individual,50000,1st  ,Petrol,Manual,18,1198,87,,,,,
Maruti Wagon R LXI BSIII,1.55,2006,Dealer,37000,1st  ,Petrol,Manual,14,1061,64,,,,,
Mahindra Supro VX 8 Str,5.4,2019,Individual,3888,1st  ,Diesel,Manual,23.5,909,45,,,,,
Maruti Swift Dzire VDI,5.45,2016,Dealer,47000,1st  ,Diesel,Manual,26.6,1248,74,,,,,
Honda City V MT,5.45,2013,Individual,70000,1st  ,Petrol,Manual,16.8,1497,116,,,,,
Renault KWID RXL,2.4,2016,Individual,25000,1st  ,Petrol,Manual,25.2,799,53,,,,,
Maruti Vitara Brezza LDi Option,7.25,2018,Dealer,26000,1st  ,Diesel,Manual,24.3,1248,89,,,,,
Ford Aspire 1.2 Ti-VCT Titanium Opt,4.8,2017,Individual,30000,1st  ,Petrol,Manual,18.2,1196,87,,,,,
Hyundai i20 Magna Optional 1.2,3.75,2013,Individual,15000,1st  ,Petrol,Manual,18.5,1197,83,,,,,
Maruti Swift VDi BSIII W/ ABS,2.25,2011,Individual,160000,1st  ,Diesel,Manual,17.8,1248,75,,,,,
Tata Tiago 1.2 Revotron XZ,4,2017,Individual,32100,1st  ,Petrol,Manual,23.8,1199,84,,,,,
Hyundai i20 Magna Optional 1.2,5.5,2016,Dealer,22000,1st  ,Petrol,Manual,18.5,1197,83,,,,,
Mahindra Scorpio S10 7 Seater,10.5,2016,Dealer,44000,1st  ,Diesel,Manual,15.4,2179,120,,,,,
Volkswagen Polo 1.2 MPI Trendline,4.5,2016,Dealer,78000,1st  ,Petrol,Manual,18.8,1198,74,,,,,
Mercedes-Benz C-Class C 200 CGI Elegance,7.75,2012,Dealer,74352,1st  ,Petrol,Automatic,11.7,1796,186,,,,,
Maruti Wagon R VXI,3.5,2014,Individual,37000,1st  ,Petrol,Manual,20.5,998,67,,,,,
Honda City i DTEC VX Option,5.5,2014,Dealer,69000,1st  ,Diesel,Manual,25.1,1498,99,,,,,
Kia Seltos HTK Plus G,10.8,2019,Individual,12120,1st  ,Petrol,Manual,16.8,1497,113,,,,,
Maruti Baleno Delta,5.75,2016,Dealer,52000,1st  ,Petrol,Manual,21,1197,82,,,,,
Toyota Innova 2.5 G (Diesel) 8 Seater,9.5,2016,Individual,120000,1st  ,Diesel,Manual,13,2494,101,,,,,
Maruti Alto 800 LXI,2.3,2013,Individual,55000,1st  ,Petrol,Manual,22.7,796,47,,,,,
Hyundai i20 1.4 CRDi Magna,2.7,2011,Individual,160000,1st  ,Diesel,Manual,21.9,1396,90,,,,,
Chevrolet Beat Diesel LS,1.65,2012,Dealer,42000,1st  ,Diesel,Manual,25.4,936,56,,,,,
Ford Figo Petrol EXI,1.3,2011,Individual,40000,1st  ,Petrol,Manual,15.6,1196,70,,,,,
Maruti Swift Dzire VXI,3.7,2012,Dealer,46000,1st  ,Petrol,Manual,19.1,1197,86,,,,,
Maruti Baleno Delta 1.2,5.7,2017,Dealer,25000,1st  ,Petrol,Manual,21.4,1197,83,,,,,
Toyota Etios GD,3.9,2015,Individual,240000,1st  ,Diesel,Manual,23.6,1364,67,,,,,
Volkswagen Polo Diesel Comfortline 1.2L,3.65,2013,Dealer,90000,1st  ,Diesel,Manual,22.1,1199,74,,,,,
Hyundai i20 Magna,2.8,2012,Dealer,49566,1st  ,Petrol,Manual,18.5,1197,83,,,,,
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2018,Dealer,14000,1st  ,Diesel,Automatic,22,1582,126,,,,,
Hyundai i20 2015-2017 Sportz 1.2,5.9,2016,Dealer,11000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Maruti Celerio VXI AMT BSIV,4.75,2018,Individual,5000,1st  ,Petrol,Automatic,23.1,998,67,,,,,
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,6.85,2017,Dealer,55000,1st  ,Diesel,Manual,23,1498,99,,,,,
Hyundai Verna SX CRDi AT,3.8,2012,Dealer,65000,1st  ,Diesel,Automatic,19.1,1582,126,,,,,
Renault KWID 1.0 RXT Optional,3.3,2018,Individual,22000,1st  ,Petrol,Manual,23,999,67,,,,,
Maruti Baleno Delta,6.5,2018,Trustmark Dealer,7671,1st  ,Petrol,Manual,21,1197,82,,,,,
Maruti Wagon R LXI,3.25,2016,Individual,66000,1st  ,Petrol,Manual,20.5,998,67,,,,,
Maruti Swift Dzire AMT VXI,6.4,2018,Dealer,45156,1st  ,Petrol,Automatic,21.2,1197,82,,,,,
Hyundai Venue SX Opt Turbo BSIV,9.49,2019,Individual,25000,1st  ,Petrol,Manual,18.3,998,118,,,,,
Nissan Terrano XL Plus 85 PS,7.5,2015,Individual,70000,1st  ,Diesel,Manual,20.5,1461,84,,,,,
Hyundai Verna 1.6 CRDi SX,6.6,2015,Individual,120000,1st  ,Diesel,Manual,23.9,1582,126,,,,,
Maruti Swift VXi BSIV,4.35,2014,Dealer,28000,1st  ,Petrol,Manual,16.1,1197,85,,,,,
Hyundai i20 Sportz 1.4 CRDi,3.85,2013,Dealer,55000,1st  ,Diesel,Manual,21.9,1396,89,,,,,
Hyundai Santa Fe 4X2,10,2011,Individual,104000,1st  ,Diesel,Manual,14.7,2199,194,,,,,
Hyundai Verna CRDi 1.6 AT SX Option,12.5,2019,Dealer,14000,1st  ,Diesel,Automatic,22,1582,126,,,,,
Hyundai Xcent 1.2 VTVT SX,5.5,2017,Individual,18000,1st  ,Petrol,Manual,20.1,1197,82,,,,,
Maruti Wagon R LX BS IV,1.55,2009,Dealer,98780,1st  ,Petrol,Manual,18.9,998,67,,,,,
Maruti Swift VDI BSIV,4.15,2015,Dealer,58000,1st  ,Diesel,Manual,25.2,1248,74,,,,,
Maruti Alto K10 2010-2014 VXI,2.51,2011,Individual,30000,1st  ,Petrol,Manual,20.9,998,67,,,,,
Mahindra Scorpio S10 7 Seater,11.5,2016,Dealer,46400,1st  ,Diesel,Manual,15.4,2179,120,,,,,
Hyundai i10 Magna 1.1L,3.1,2014,Trustmark Dealer,32111,1st  ,Petrol,Manual,19.8,1086,68,,,,,
Datsun GO Plus T BSIV,3.5,2015,Individual,35000,1st  ,Petrol,Manual,19.4,1198,67,,,,,
Mahindra Scorpio 1.99 S6 Plus,11.25,2017,Dealer,30000,1st  ,Diesel,Manual,15.4,1997,120,,,,,
BMW 5 Series 530d M Sport,26,2016,Dealer,63000,1st  ,Diesel,Automatic,18.6,2993,261,,,,,
Chevrolet Beat LT,2,2017,Individual,43890,1st  ,Petrol,Manual,17.8,1199,77,,,,,
Datsun GO Plus Anniversary Edition,4.8,2018,Individual,10000,1st  ,Petrol,Manual,20.6,1198,67,,,,,
Maruti Swift Dzire AMT ZDI Plus,8.5,2017,Individual,25000,1st  ,Diesel,Automatic,28.4,1248,74,,,,,
Hyundai Creta 1.6 CRDi AT SX Plus,11,2017,Dealer,102000,1st  ,Diesel,Automatic,17,1582,126,,,,,
Maruti Swift VXI 2018,5.75,2018,Dealer,35000,1st  ,Petrol,Manual,22,1197,82,,,,,
Hyundai Santro LP,1.6,2007,Individual,54000,1st  ,Petrol,Manual,0,999,null,,,,,
Maruti Swift Dzire VXi,3.4,2012,Dealer,49948,1st  ,Petrol,Manual,17.5,1298,86,,,,,
Tata Indigo eLX BS IV,5.59,2018,Individual,114851,1st  ,Diesel,Manual,25,1396,69,,,,,
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25,2018,Individual,55000,1st  ,Diesel,Manual,23,1498,99,,,,,
Hyundai Grand i10 Magna,4,2015,Dealer,36000,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Hyundai Xcent 1.2 CRDi S,5.6,2019,Individual,35000,1st  ,Diesel,Manual,25.4,1186,74,,,,,
Honda City i VTEC VX Option,7.25,2016,Dealer,49625,1st  ,Petrol,Manual,17.8,1497,117,,,,,
Maruti Swift Dzire ZDI,6,2014,Individual,35000,1st  ,Diesel,Manual,23.4,1248,74,,,,,
Mahindra Scorpio VLX 2WD AIRBAG SE BSIV,5.5,2013,Individual,95000,1st  ,Diesel,Manual,12.1,2179,120,,,,,
Ford Aspire 1.5 TDCi Titanium,5.85,2017,Dealer,36000,1st  ,Diesel,Manual,25.8,1498,99,,,,,
Maruti Wagon R VXI,4.11,2019,Individual,50000,1st  ,Petrol,Manual,21.8,998,67,,,,,
Maruti Swift Dzire VXI,4.5,2015,Individual,26500,1st  ,Petrol,Manual,20.9,1197,83,,,,,
Honda CR-V 2.0L 2WD AT,12.9,2015,Dealer,80000,1st  ,Petrol,Automatic,13.7,1997,154,,,,,
Volkswagen Polo 1.2 MPI Highline,4.55,2015,Dealer,46000,1st  ,Petrol,Manual,16.5,1198,74,,,,,
Hyundai Grand i10 Nios Asta,7.1,2019,Individual,9000,1st  ,Petrol,Manual,20.7,1197,82,,,,,
Mahindra TUV 300 T4,4.5,2016,Individual,70000,1st  ,Diesel,Manual,18.5,1493,100,,,,,
Toyota Etios Liva 1.2 VX,4.65,2015,Dealer,33000,1st  ,Petrol,Manual,17.7,1197,79,,,,,
Honda City V MT,7.7,2016,Dealer,53000,1st  ,Petrol,Manual,16.8,1497,116,,,,,
Tata Indigo LS (TDI) BS-III,3.2,2015,Individual,50000,1st  ,Diesel,Manual,19.1,1405,69,,,,,
Tata Indigo LX (TDI) BS-III,3.25,2015,Individual,50000,1st  ,Diesel,Manual,19.1,1405,69,,,,,
Ford Endeavour 3.2 Titanium AT 4X4,29,2018,Individual,11387,1st  ,Diesel,Automatic,10.9,3198,197,,,,,
Honda Amaze VX i-DTEC,7.2,2018,Individual,50000,1st  ,Diesel,Manual,25.8,1498,99,,,,,
Mahindra KUV 100 mFALCON D75 K6 5str,3.75,2016,Dealer,52000,1st  ,Diesel,Manual,25.3,1198,77,,,,,
Chevrolet Aveo 1.4 LT ABS BSIV,1.45,2010,Individual,60000,1st  ,Petrol,Manual,14.5,1399,93,,,,,
Datsun GO Plus T BSIV,4,2015,Individual,35000,1st  ,Petrol,Manual,19.4,1198,67,,,,,
Renault Duster 85PS Diesel RxL Plus,6,2015,Individual,48000,1st  ,Diesel,Manual,19.9,1461,84,,,,,
Honda Jazz 1.2 V i VTEC,6,2018,Individual,18000,1st  ,Petrol,Manual,18.7,1199,89,,,,,
Maruti Wagon R LXI DUO,2.7,2012,Individual,57413,1st  ,LPG,Manual,14.4,998,62,,,,,
Hyundai i20 Magna 1.2,5,2015,Individual,30000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Hyundai Verna 1.6 CRDi SX,6.5,2015,Dealer,55000,1st  ,Diesel,Manual,23.9,1582,126,,,,,
Chevrolet Sail 1.2 LS ABS,3.8,2015,Individual,120000,1st  ,Petrol,Manual,18.2,1199,82,,,,,
Mitsubishi Pajero Sport 4X4,7.28,2012,Individual,165000,1st  ,Diesel,Manual,13.5,2477,176,,,,,
Maruti Swift AMT ZXI,6.6,2018,Individual,10000,1st  ,Petrol,Automatic,21.2,1197,82,,,,,
Tata Indica Vista Aura 1.3 Quadrajet,1.8,2010,Individual,120000,1st  ,Diesel,Manual,18,1248,75,,,,,
BMW 3 Series 320d Luxury Line,20.9,2016,Dealer,68000,1st  ,Diesel,Automatic,22.7,1995,190,,,,,
Chevrolet Beat Diesel LS,2.5,2015,Dealer,55000,1st  ,Diesel,Manual,25.4,936,56,,,,,
Kia Seltos HTK Plus G,12.75,2020,Dealer,8000,1st  ,Petrol,Manual,16.8,1497,113,,,,,
Toyota Corolla Altis G,4.55,2012,Dealer,80000,1st  ,Petrol,Manual,14.5,1798,138,,,,,
Maruti Swift VDI,4.95,2015,Dealer,65000,1st  ,Diesel,Manual,28.4,1248,74,,,,,
Maruti Ritz VXI,2.2,2010,Individual,47000,1st  ,Petrol,Manual,21.1,1197,86,,,,,
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,8,2018,Individual,185000,1st  ,Diesel,Manual,25.1,1248,89,,,,,
Hyundai Santa Fe 2WD AT,12.95,2014,Dealer,68000,1st  ,Diesel,Automatic,13,2199,194,,,,,
Hyundai Grand i10 Sportz,4.75,2016,Individual,25000,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Tata Sumo Gold EX,3.8,2014,Individual,280000,1st  ,Diesel,Manual,15.3,2956,84,,,,,
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,9,2018,Individual,7791,1st  ,Diesel,Manual,25.1,1248,89,,,,,
Maruti Ciaz VXi Plus,5.3,2015,Individual,70000,1st  ,Petrol,Manual,20.7,1373,91,,,,,
Tata Tiago 1.2 Revotron XZ,5.3,2016,Individual,9500,1st  ,Petrol,Manual,23.8,1199,84,,,,,
Hyundai Verna 1.6 VTVT S,6.5,2015,Individual,9100,1st  ,Petrol,Manual,17,1591,121,,,,,
Honda New Accord 2008-2011 2.4 MT,4.95,2010,Dealer,82000,1st  ,Petrol,Manual,12.8,2354,178,,,,,
Honda City 1.5 S MT,3.35,2010,Dealer,86000,1st  ,Petrol,Manual,17,1497,118,,,,,
Audi Q5 40 TDI Technology,46.75,2020,Dealer,19000,1st  ,Diesel,Automatic,17,1968,188,,,,,
Audi A4 2.0 TDI,12.9,2013,Dealer,78000,1st  ,Diesel,Automatic,16.6,1968,148,,,,,
Ford Figo Diesel Titanium,3,2011,Individual,60000,1st  ,Diesel,Manual,20,1399,68,,,,,
Maruti Wagon R ZXI AMT 1.2BSIV,5.5,2019,Trustmark Dealer,7883,1st  ,Petrol,Automatic,21.5,1197,82,,,,,
Maruti Swift Dzire LDI,3.9,2013,Trustmark Dealer,50205,1st  ,Diesel,Manual,23.4,1248,74,,,,,
Mahindra Bolero DI AC BSIII,2.6,2008,Individual,220000,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Tata Tigor 1.05 Revotorq XT,3.95,2017,Dealer,58000,1st  ,Diesel,Manual,24.7,1047,69,,,,,
Mahindra Scorpio SLE BSIII,5.5,2012,Individual,170000,1st  ,Diesel,Manual,12.1,2179,120,,,,,
Maruti Swift Dzire VXI 1.2 BS IV,6.5,2018,Individual,15000,1st  ,Petrol,Manual,22,1197,82,,,,,
Maruti Swift DDiS LDI,3.75,2016,Dealer,71245,1st  ,Diesel,Manual,28.4,1248,74,,,,,
Tata Manza ELAN Quadrajet BS IV,3,2012,Individual,20000,1st  ,Diesel,Manual,21.1,1248,89,,,,,
Toyota Etios VX,4.5,2016,Dealer,52000,1st  ,Petrol,Manual,16.8,1496,89,,,,,
Honda Brio S MT,3.35,2015,Individual,61000,1st  ,Petrol,Manual,19.4,1198,87,,,,,
Kia Seltos GTK,13,2019,Individual,7000,1st  ,Petrol,Manual,16.1,1353,138,,,,,
Maruti Alto K10 VXI,3.6,2018,Individual,20000,1st  ,Petrol,Manual,24,998,67,,,,,
Maruti Celerio ZXI,5.05,2020,Individual,8700,1st  ,Petrol,Manual,21.6,998,67,,,,,
Maruti Alto 800 LXI,3.1,2019,Individual,25000,1st  ,Petrol,Manual,24.7,796,47,,,,,
Hyundai i20 Asta Option BSIV,5.45,2015,Dealer,42000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Mahindra Xylo E4,3,2009,Individual,120000,1st  ,Diesel,Manual,14,2498,112,,,,,
Chevrolet Aveo 1.4 LS Limited Edition,2,2009,Individual,60000,1st  ,Petrol,Manual,14.4,1399,94,,,,,
Mahindra Bolero DI,1.5,2006,Individual,120000,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Maruti Baleno Delta 1.2,5.8,2018,Individual,50000,1st  ,Petrol,Manual,21.4,1197,83,,,,,
Maruti Wagon R VXI BS IV,2.5,2011,Individual,58000,1st  ,Petrol,Manual,18.9,998,67,,,,,
Hyundai Verna 1.4 VTVT,6.5,2017,Individual,36000,1st  ,Petrol,Manual,17.4,1396,106,,,,,
Maruti SX4 S Cross DDiS 200 Zeta,8,2016,Individual,80000,1st  ,Diesel,Manual,23.7,1248,89,,,,,
Audi Q3 2.0 TDI Quattro Premium Plus,14.75,2013,Dealer,71000,1st  ,Diesel,Automatic,15.7,1968,174,,,,,
Maruti Ertiga VDI,4.1,2018,Individual,30000,1st  ,Diesel,Manual,25.5,1248,89,,,,,
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.31,2015,Dealer,162828,1st  ,Diesel,Manual,22.8,1498,99,,,,,
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,8.9,2018,Individual,7500,1st  ,Diesel,Manual,23,1498,99,,,,,
Tata Safari Storme EX,7.75,2016,Dealer,47227,1st  ,Diesel,Manual,14,2179,138,,,,,
Maruti Wagon R CNG LXI BSIV,4.35,2018,Dealer,52000,1st  ,CNG,Manual,33.5,998,67,,,,,
Ford Figo Diesel ZXI,1.85,2012,Dealer,74000,1st  ,Diesel,Manual,20,1399,68,,,,,
Mahindra Bolero 2011-2019 SLX,4.4,2011,Dealer,47000,1st  ,Diesel,Manual,16,2523,62,,,,,
Hyundai i20 Sportz 1.2,4.5,2015,Individual,50000,1st  ,Petrol,Manual,18.6,1197,82,,,,,
Maruti Baleno Zeta 1.2,6,2017,Individual,100000,1st  ,Petrol,Manual,21.4,1197,83,,,,,
Maruti Celerio VXI,3.2,2014,Individual,35000,1st  ,Petrol,Manual,23.1,998,67,,,,,
